Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Ecology_2_A,Ecology_2_B,Ecology_3_A,Ecology_3_B,Shops_2_A,Shops_2_B,component_1,component_2,clusters_3_0,clusters_3_2,clusters_5_0,clusters_5_2,clusters_5_3,clusters_5_4,clusters_8_0,clusters_8_2,clusters_8_3,clusters_8_4,clusters_8_5,clusters_8_6,clusters_8_7
15856,74,2.0,69.26318347353308,45.192744164117485,1.0,6,1.0,1977,0.075778755,6,1437,3,0,2,0,1,0,1,0,1,63.08429,-7.0338106,0,1,0,1,0,0,0,0,0,0,0,0,1
5480,190,1.0,13.597818501304126,7.343420377399012,12.0,2,5.0,1909,0.0,30,7538,87,5,5,0,1,0,1,0,1,-37.26058,-10.822546,1,0,0,0,1,0,0,0,0,0,0,1,0
7633,53,1.0,40.675626539628134,25.536884834403363,1.0,21,21.0,1977,0.049637257,34,7759,0,1,3,0,1,0,1,0,1,-15.84886,-17.590668,1,0,0,0,0,1,0,0,1,0,0,0,0
3310,6,3.0,84.62535038041838,56.56594236545813,1.0,6,17.0,1977,0.243204519,5,1564,0,0,0,0,1,0,1,0,1,-25.461946,51.49805,1,0,0,0,1,0,0,0,0,1,0,0,0
5214,27,1.0,37.55519665650439,23.58265412786379,1.0,5,1.0,1977,0.211401214,9,1892,0,0,1,0,1,0,1,0,1,-15.30813,44.836754,1,0,0,0,1,0,0,0,0,1,0,0,0
3495,27,3.0,82.6528178306488,55.33060498477978,1.0,4,17.0,2015,0.072157581,2,629,1,0,0,0,1,0,1,1,0,18.893585,83.30235,1,0,0,0,1,0,0,0,0,1,0,0,0
16688,1,1.0,44.87876658563359,28.169184116695643,1.0,1,9.0,1977,0.007122317,1,264,0,0,1,0,1,0,1,0,1,79.824425,7.338275,0,1,0,1,0,0,0,0,0,0,0,0,1
8968,27,2.0,69.84923946355873,45.672087237674845,0.0,3,0.0,1977,0.011654127,4,915,0,0,0,0,1,0,1,0,1,24.1391,47.398098,0,1,0,1,0,0,0,0,0,0,0,0,1
11160,58,1.0,48.61066139896364,30.506356785509027,1.0,4,3.0,1977,0.43788524,23,5735,3,0,5,0,1,0,1,0,1,17.475657,-11.4410095,0,1,0,0,0,1,0,0,1,0,0,0,0
2982,6,2.0,63.460684405281384,41.67112873742926,0.0,13,0.0,1977,0.243204519,5,1564,0,0,0,0,1,0,1,0,1,-27.09375,52.341545,1,0,0,0,1,0,0,0,0,1,0,0,0
2449,1,1.0,66.42658474782806,41.776243830059165,0.0,14,0.0,1977,0.007122317,1,264,0,0,1,0,1,0,1,0,1,26.5871,84.20603,1,0,0,0,1,0,0,0,0,1,0,0,0
10704,52,2.0,51.92149100340754,34.33216751351838,1.0,6,17.0,1977,0.371148999,34,7065,1,2,5,0,1,0,1,0,1,4.4496584,-21.284332,0,1,0,0,0,1,0,0,1,0,0,0,0
6624,27,1.0,42.41379292852747,25.614620141240138,10.0,12,17.0,2017,0.011654127,4,915,0,0,0,0,1,0,1,0,1,4.3285027,58.836056,1,0,0,0,1,0,0,0,0,1,0,0,0
5428,27,2.0,62.326043796391524,34.109386088391524,61.0,12,17.0,1977,0.072157581,2,629,1,0,0,0,1,0,1,1,0,6.156556,73.061646,1,0,0,0,1,0,0,0,0,1,0,0,0
11513,1,1.0,37.48405677665481,23.650415336990513,0.0,4,17.0,1977,0.007122317,1,264,0,0,1,0,1,0,1,0,1,46.74661,39.46127,0,1,0,1,0,0,0,0,0,0,0,0,1
12309,45,1.0,42.89956912819317,27.04198666703629,0.0,25,0.0,1977,0.195781053,23,5212,6,3,2,0,1,0,1,0,1,28.228798,-12.861749,0,1,0,0,0,1,0,0,0,0,1,0,0
14788,6,1.0,38.269173303791476,24.029796073089567,1.0,6,17.0,2017,0.243204519,5,1564,0,0,0,0,1,0,1,0,1,58.31067,-1.9120854,0,1,0,1,0,0,0,0,0,0,0,0,1
10614,27,1.0,44.25499476053788,27.778534718973567,1.0,3,1.0,1977,0.211401214,9,1892,0,0,1,0,1,0,1,0,1,24.998148,24.138367,0,1,0,1,0,0,0,0,0,0,0,0,1
3061,30,2.0,66.20329032176707,43.27642577854774,1.0,22,22.0,1977,7.81528e-05,22,6398,141,3,23,0,1,0,1,0,1,-51.101032,10.007895,1,0,0,0,1,0,0,0,0,0,0,1,0
